ra,dec,mjd_u,u,g,r,i,z,objID
12.2009528495562,-0.773272406967973,53679.3117268901,25.95262,20.83155,19.44872,18.87669,18.55975,8658195281428676708
12.200953165159,-0.773281500443131,52931.2553934,23.06234,20.74327,19.42722,18.86715,18.53072,8658188289225064594
12.2009532722815,-0.773286586700018,0,24.05211,20.78473,19.46078,18.86678,18.51867,8647474690876703048
12.2009534040742,-0.773296871264054,54062.271556,23.12711,20.82674,19.48232,18.86827,18.53095,8658198614331359355
12.2009546224682,-0.773303531600491,54030.28412726,22.9922,20.80048,19.42315,18.87445,18.50794,8658198111820316759
12.200954975857,-0.773281841007906,52959.1957736,24.75607,20.76547,19.4489,18.84647,18.45071,8658188525432078433
12.2009550962739,-0.773292381100109,53975.33081884,22.97779,20.75913,19.44904,18.85444,18.4514,8658197287184629846
12.2009551314911,-0.773276721006484,53697.26025205,23.4093,20.82343,19.56281,18.94324,18.56207,8658195603559022725
12.2009564944201,-0.773274075726793,53664.30692333,25.02003,20.91702,19.67514,19.10766,18.69148,8658194997966209160
12.2009588794237,-0.773283436232823,54020.29068165,22.45553,20.7405,19.44655,18.83741,18.49754,8658197974382936163
12.2009603264424,-0.773270862571872,52577.2412439,24.00081,20.78174,19.44624,18.8754,18.54662,8658185033639657590
12.2009608865219,-0.766966384005875,54037.2654119401,24.22296,22.81441,21.90013,22.07498,22.8012,8658198236374172013
12.2009609358689,-0.773306056435433,51819.388708,22.72677,20.68526,19.45369,18.85906,18.48547,8658177822391140461
12.2009613546768,-0.773301248078895,53674.25047027,23.7246,20.76692,19.47384,18.86301,18.52228,8658476657627103313
12.2009616764972,-0.773313963800711,54056.27243522,26.41629,20.7438,19.45901,18.86655,18.48759,8658198494073127029
12.2009625287154,-0.773288592633544,53685.262186111,25.27112,20.94449,19.44948,18.88071,18.53639,8658195423170461778
12.2009627821284,-0.767044867740332,54379.34958605,24.59541,22.57013,22.02596,21.78793,21.26394,8658200452577690142
12.2009641703981,-0.773267011000372,53996.33761701,25.26036,20.61891,19.39698,18.86603,18.43195,8658197630777229417
12.200964804559,-0.773284037567514,54012.28460782,23.15599,20.52515,19.39213,18.82663,18.46358,8658197914252673105
12.2009656571509,-0.773282538588095,53622.3548800931,23.35661,20.8627,19.56439,18.90643,18.53581,8658194259230916698
12.2009696706607,-0.773278626359581,53634.30436953,24.32731,20.69298,19.39151,18.86557,18.54388,8658194418148573254
12.200970086976,-0.773279606432469,53655.28172382,25.2607,20.77138,19.46297,18.86954,18.46229,8658194821877203063
12.2009702527499,-0.7669588804848,54394.34073291,23.91829,22.92206,21.85753,22.00059,21.06264,8658200710275334708
12.2009703381463,-0.766975755220023,54387.3581225901,23.43179,22.78411,21.60547,21.28131,21.53918,8658200594310955473
12.2009704949271,-0.773276623214032,54008.29706459,23.5682,20.75834,19.44578,18.87738,18.50773,8658197845531295847
12.2009734579447,-0.773296069152639,53694.27619189,27.92439,20.64751,19.48208,18.88614,18.32112,8658195547724644456
12.2009755757196,-0.773294114686725,54407.2685394599,23.13267,20.68327,19.49977,18.86564,18.52437,8658200882074026352
12.2009764981174,-0.76695450856536,54028.36048751,22.93238,22.50136,21.93129,21.96312,21.40435,8658198077428728126
12.2009819232303,-0.76703633893503,54053.2704134,24.17792,23.10703,22.05493,21.9757,21.64195,8658198438239142638
12.2009825882127,-0.766965268991206,54417.26613289,24.29153,22.86632,21.85961,21.77388,22.46717,8658201028077093268
12.2009915594756,-0.773280374961765,54422.26897658,22.78089,20.75399,19.46122,18.86115,18.55746,8658201092527423574
12.200995718781,-0.766967169522132,53994.35381256,23.66498,22.53125,21.74045,21.90705,21.03636,8658197579219206642
12.2009989885014,-0.766961283476704,53640.30973553,22.88338,22.94493,21.72623,21.57951,21.75924,8658194534113214845
12.2010048307704,-0.76702594693853,53998.30610324,23.23897,22.19356,22.02974,21.7107,21.72556,8658197673735094872
12.2010155303406,-0.766974587937501,53669.26601371,23.66224,22.77643,22.0624,21.65271,21.40307,8658195092456473237
12.201016705578,-0.766963126973296,54020.29068165,25.34505,22.64026,21.63876,21.60992,21.09453,8658197974382936408
12.2010187213446,-0.766863517620176,53655.28172382,22.71337,22.70946,21.97051,21.57853,21.14391,8658194821877203406
12.2010202191558,-0.76693734279234,54008.29706459,25.3953,22.74932,21.93309,21.85812,21.26146,8658197845531296262
12.2010220572409,-0.766958979493114,52931.2553934,22.89317,22.60294,22.05733,21.53622,22.18825,8658188289225064940
12.2010221227604,-0.766983408570483,53638.34575567,22.81461,22.75658,21.9359,21.58202,21.32576,8658194495439241575
12.2010221694697,-0.767019357216911,53674.25047027,22.43429,22.4583,21.74935,21.91546,21.08614,8658476657627103576
12.2010374348488,-0.766908241752414,54061.2776978,21.63374,22.70512,22.43903,21.34392,21.14771,8658198597387092531
12.2010487813583,-0.766984264569089,54422.26897658,25.18548,22.21275,22.52822,21.45784,21.82938,8658201092527424019
12.2010763270356,-0.766940581476818,53634.30436953,25.95071,22.38972,21.71599,21.83298,21.84838,8658194418148573495
12.2012429907399,-0.766987787617579,54391.35907178,22.56855,23.41187,21.67566,21.59214,21.89319,8658200667293352383
12.2022645490811,-0.768296866284441,53664.30692333,25.58931,21.85261,25.80755,25.24775,21.66566,8658194997966209163
12.2025649083583,-0.761083404326768,54391.35907178,22.96861,22.54454,21.28582,20.72222,19.95115,8658200667293352203
12.2026209243344,-0.761047190873776,54040.27975931,23.2512,22.81352,21.59882,21.14265,21.16183,8658198279323844931
12.2026350509631,-0.76096009575122,53664.30692333,25.79009,22.29435,21.8132,21.17182,22.32115,8658194997966209450
12.2026456578157,-0.761052877116,54422.26897658,22.48233,22.26022,21.62454,21.08134,23.00881,8658201092527423871
12.2028261284229,-0.766464082721276,54407.2685394599,22.6534,23.8386,25.08307,24.03819,22.54375,8658200882074026177
12.2037677182624,-0.765261135752432,54379.34958605,22.50688,25.70405,25.78222,23.91126,20.11014,8658200452577690397
12.2037703717839,-0.770976786063384,53697.26025205,25.40774,24.53994,22.633,24.17574,23.29377,8658195603559023194
